| 🧩 **Langkah**                          | 🗣️ **Narasi (dari platform sebagai konsultan virtual)**                                                                                                                                              | 📝 **Contoh Data / Input User**                                                                                                                                 |
| --------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **1. Fokus Tim**                        | *“Halo! Sebelum kita mulai, aku butuh sedikit gambaran. Bagian mana di bisnis kamu yang lagi ingin ditingkatkan? Kita akan fokus di situ supaya hasilnya benar-benar terasa.”*                        | **Pilihan:**<br>☑️ Penjualan<br>▫️ Operasional<br>▫️ Customer Service                                                                                           |
| **2. Tentukan OKR Cycle**               | *“Kita perlu tentukan waktu kerja sama dulu. Berapa lama kamu ingin goal ini tercapai? Dengan tahu batas waktunya, kita bisa bantu atur ritme dan evaluasi di akhir.”*                                | **Pilih:**<br>☑️ 1 bulan<br>Periode: 1 Juli – 31 Juli                                                                                                           |
| **3. Buat Objective**                   | *“Sekarang, ayo kita tulis satu tujuan yang penting dan bermakna. Biar kita punya arah yang jelas. Gak perlu rumit — cukup satu kalimat yang bisa jadi kompas kita selama beberapa minggu ke depan.”* | **Input:**<br>“Meningkatkan omzet penjualan produk A sebesar 20% dalam bulan Juli”                                                                              |
| **4. Ukuran Keberhasilan (Key Result)** | *“Tujuan tanpa ukuran itu cuma harapan. Yuk kita tentukan, gimana cara kamu tahu kalau kamu berhasil?”*                                                                                               | **Key Results:**<br>– Omzet produk A mencapai Rp50.000.000<br>– Terjual 500 pcs produk A<br>– Closing rate naik dari 8% ke 12%                                  |
| **5. Pilih Cadence (Ritme Check-in)**   | *“Setiap tim punya ritmenya sendiri. Kamu lebih nyaman update harian, mingguan, atau bulanan?”*                                                                                                       | **Pilih:**<br>☑️ Harian<br>🔔 Reminder: Setiap hari pukul 17:00                                                                                                 |
| **6. Invite Member**                    | *“Capai hasil besar nggak harus sendirian. Kamu bisa ajak anggota tim untuk bantu jalanin inisiatif bareng.”*                                                                                         | **Undang via email:**<br>– [arif@bisnisku.com](mailto:arif@bisnisku.com) (Sales)<br>– [dita@bisnisku.com](mailto:dita@bisnisku.com) (Marketing)<br>Role: Member |
| **7. Pilih Inisiatif Prioritas**        | *“Sekarang, mari kita pilih langkah-langkah konkret yang akan kamu ambil. Aku bantu pilih mana yang paling berdampak dan realistis.”*                                                                 | **Inisiatif:**<br>– Buat promo bundling di Shopee<br>– Broadcast WA ke database lama<br>– Posting testimoni pelanggan tiap hari                                 |
| **8. Check-in Pertama**                 | *“Yuk kita mulai! Coba update progres pertamamu.”*                                                                                                                                                    | ✅ *Hari ini broadcast dikirim ke 50 kontak lama.*<br>📈 *Leads masuk: 7 orang*                                                                                  |
| **9. Dashboard Ringkas**                | *“Ini tempat kamu bisa lihat semua progres secara ringkas.”*                                                                                                                                          | 🎯 Objective: Omzet produk A naik 20%<br>📏 KR 1: 25% tercapai<br>📅 Cadence: Harian – 3x check-in minggu ini<br>🧩 Aksi hari ini: Follow up 10 leads           |
| **10. Reminder & Review**               | *“Di akhir periode, kita akan review hasilnya bareng. Kalau butuh penyesuaian, aku bantu reset tujuannya.”*                                                                                           | 📆 Reminder akhir cycle: 31 Juli<br>📊 Sistem akan kirim ringkasan progres & rekomendasi                                                                        |
